Voltage(mv),405-A,405-B,Voltage(mv),635-A,635-B
10600,30.53371508,30.53371508,10600,26.84018,26.84018
10800,29.92330084,29.92330084,10800,26.303605,26.303605
11000,29.36778776,29.36778776,11000,25.81529,25.81529
11200,28.82599997,28.82599997,11200,25.33904,25.33904
11400,28.29143602,28.29143602,11400,24.86914,24.86914
11600,27.7951584,27.7951584,11600,24.432895,24.432895
11800,27.30971654,27.30971654,11800,24.006175,24.006175
12000,26.82933137,26.82933137,12000,23.5839,23.5839
12200,26.38578776,26.38578776,12200,23.19401,23.19401
12400,25.94730084,25.94730084,12400,22.808565,22.808565
12600,25.54710026,25.54710026,12600,22.456775,22.456775
12800,25.12233864,25.12233864,12800,22.083395,22.083395
13000,24.74019765,24.74019765,13000,21.74748,21.74748
13200,24.37178195,24.37178195,13200,21.42363,21.42363
13400,24.00986771,24.00986771,13400,21.105495,21.105495
13600,23.66095637,23.66095637,13600,20.79879,20.79879
13800,23.32071364,23.32071364,13800,20.499705,20.499705
14000,22.99925288,22.99925288,14000,20.21713,20.21713
14200,22.69512934,22.69512934,14200,19.949795,19.949795
14400,22.37800288,22.37800288,14400,19.67103,19.67103
14600,22.08471509,22.08471509,14600,19.41322,19.41322
14800,21.42156684,21.42156684,14800,18.83029,18.83029
15000,21.52703486,21.52703486,15000,18.923,18.923
15200,21.27636771,21.27636771,15200,18.702655,18.702655
15400,21.00691858,21.00691858,15400,18.4658,18.4658
15600,20.75408428,20.75408428,15600,18.24355,18.24355
15800,20.51858719,20.51858719,15800,18.03654,18.03654
16000,20.27008719,20.27008719,16000,17.8181,17.8181
16200,17.66083719,17.66083719,16200,15.52448,15.52448
16400,19.83882411,19.83882411,16400,17.439005,17.439005
16600,19.62283137,19.62283137,16600,17.24914,17.24914
16800,19.42345347,19.42345347,16800,17.07388,17.07388
17000,19.21468457,19.21468457,17000,16.890365,16.890365
17200,19.01602905,19.01602905,17200,16.71574,16.71574
17400,18.82604213,18.82604213,17400,16.548735,16.548735
17600,18.65772672,18.65772672,17600,16.40078,16.40078
17800,18.44028922,18.44028922,17800,16.209645,16.209645
18000,18.27919765,18.27919765,18000,16.06804,16.06804
18200,18.08776597,18.08776597,18200,15.899765,15.899765
18400,17.92378486,17.92378486,18400,15.75562,15.75562
18600,17.76197091,17.76197091,18600,15.61338,15.61338
18800,17.60087934,17.60087934,18800,15.471775,15.471775
19000,17.46145928,17.46145928,19000,15.34922,15.34922
19200,17.32059446,17.32059446,19200,15.225395,15.225395
19400,17.16383719,17.16383719,19400,15.0876,15.0876
19600,17.04103196,17.04103196,19600,14.97965,14.97965
19800,16.88355231,16.88355231,19800,14.84122,14.84122
20000,16.76580376,16.76580376,20000,14.737715,14.737715
20200,16.63144039,16.63144039,20200,14.619605,14.619605
20400,16.51296946,16.51296946,20400,14.515465,14.515465
20600,16.42628341,16.42628341,20600,14.439265,14.439265
20800,16.29697673,16.29697673,20800,14.3256,14.3256
21000,16.15394475,16.15394475,21000,14.19987,14.19987
21200,16.0542558,16.0542558,21200,14.11224,14.11224
21400,15.89027469,15.89027469,21400,13.968095,13.968095
21600,15.81659155,15.81659155,21600,13.903325,13.903325
21800,15.70462208,15.70462208,21800,13.8049,13.8049
22000,15.59626452,15.59626452,22000,13.70965,13.70965
22200,15.52113661,15.52113661,22200,13.64361,13.64361
22400,15.41711336,15.41711336,22400,13.55217,13.55217
22600,15.29141859,15.29141859,22600,13.44168,13.44168
22800,15.20184301,15.20184301,22800,13.36294,13.36294
23000,15.14621946,15.14621946,23000,13.314045,13.314045
23200,15.0732587,15.0732587,23200,13.24991,13.24991
23400,14.95334301,14.95334301,23400,13.1445,13.1445
23600,14.86737934,14.86737934,23600,13.068935,13.068935
23800,14.77419184,14.77419184,23800,12.98702,12.98702
24000,14.71134446,14.71134446,24000,12.931775,12.931775
24200,14.61815696,14.61815696,24200,12.84986,12.84986
24400,14.54736336,14.54736336,24400,12.78763,12.78763
24600,14.48018167,14.48018167,24600,12.728575,12.728575
24800,14.39205086,14.39205086,24800,12.651105,12.651105
25000,14.33209301,14.33209301,25000,12.5984,12.5984
